Country,Emails,Percentage
Other,14,42.4%
Global (Gmail),9,27.3%
UK,4,12.1%
Germany,1,3.0%
Vietnam,1,3.0%
Thailand,1,3.0%
Global (Mail.com),1,3.0%
Colombia,1,3.0%
Russia,1,3.0%
